ni / non plus,tampoco
aussi,también
alors,entonces
mais,pero
la rue,la calle
bon,bueno
le matin,la mañana
l'après-midi,la tarde
la chance,la suerte
ensuite,luego
un ami,un amigo
chercher,buscar
le cinéma,el cinéma
au cinéma,al cinéma
un sportif,un deportista
amoureux,enamorado
trouver,encontar (ue)
beau,lindo
nouveau,nuevo
rentrer,volver (ue)
un grand-père,un abuelo
une maison,una casa
ensemble,conjunto
écouter,escuchar
ces,estos / estas
grand,grande
une chambre,una habitación
un frère / une soeur,un hermano / una hermana
tôt,temprano
la viande,la carne
la salle à manger,el comedor
un décor,un decorado
devant,delante de
pendant,durante
attendre,espear
le bureau (meuble),el escritorio
magnifique,hermoso
aujourd'hui,hoy
le jardin,el jardin
le bureau (lieu),la oficina
préféré,preferido
une chaise,une silla
un théâtre,un teatro
personne,nadie
rien,nada
jamais,nunca
aucun,ningun ningun-o(s) / a(s)
ni... ni,ni... ni
heureux,feliz
triste,triste
en colère,enfadado
furieux,furioso
amoureux,enamorado
supris,sorprendido
quoi / qu'est-ce que,qué
qui,quién / quiénes
comment,cómo
quand,cuándo
quel / quelle,cuál
quels / quelles,cuáles
combien,cuánto(s) /cuánta(s)
où,dónde
pourquoi (pour quelle raison),por qué
pourquoi (dans quel but),para qué
un,uno
deux,dos
trois,tres
quatre,cuatro
cinq,cinco
six,seis
sept,siete
huit,ocho
neuf,nueve
dix,diece
onze,once
douze,doce
treize,trece
quatorze,catorce
quinze,quince
seize,dieciséis
dix-sept,diecisiete
dix-huit,dieciocho
dix-neuf,diecinueve
vingts,veinte
vingt et un,veintiuno
vingt deux,veintidos
vingt trois,veintitres
vingt quatre,veinticuatro
vingt cinq,veinticinco
vingt six,veintiseis
vingt setp,veintisiete
vingt huit,veintiocho
vingt neuf,veintinueve
trente,treinta
trente et un,treinta y uno
trente deux,treinta y dos
trente trois,treinta y tres
quarante,cuarenta
cinquante,cincuenta
soixante,sesenta
soixante dix,setenta
quatre vingts,ochenta
quatre vingts dix,noventa
jaune,amarillo
bleu,azul
bleu turquoise,azul turquesa
beige,beige
blanc,blanco
kaki,caqui
doré,dorado
gris,gris
marron,marrón
orange,naranja
noir,negro
argenté,plateado
rouge,rojo
rose,rosa
vert,verde
violet,violeta
l'arbre,el arbol
le porc,el cerdo
le ciel,el cielo
corriger,corregir
l'herbe,la hierba
la lumière,la luz
le citron,el limón
le nuage,la nube
le tronc,el tronco
utiliser,utilizar
louer,aquilar
apprendre,aprender
aider,ayudar
danser,bailar
cuisiner,cocinar
répondre,contestar
devoir,deber
laisser,dejar
rester,descansar
désirer,desear
dessiner,dibujar
écouter,escuchar
parler,hablar
arriver,llegar
tuer,matar
mélanger,mezclar
monter,montar
nager,nadar
avoir besoin de,necessitar
partir,partir
promener,pasear
préparer,preparar
briser,romper
saluer,saludar
craindre,temer
toucher,tocar
prendre,tomar
travailler,trabajar
vendre,vender
visiter,visitar
le visage,la cara
le menton,la barbilla / el mentón
la bouche,la boca
le sourcil,la ceja
le cerveau,el cerbero
les gencives,las encías 
le front,el frente
la lèvre,el labio
la mâchoire,la mandíbula
la joue,la mejilla
le nez,la nariz
l'oeil,el ojo
l'oreille,la oreja
la paupière,el párpado 
les cheveux,el pelo
les cils,las pestañas
le ventre,la barriga
le bras,el brazo
la hanche,la cadera
le coude,el codo
le coeur,el corazón
le crâne,el cráneo
le cou,el cuelo
le doigt,el dedo
les dents ,los dientes
le dos,la espalda
l'épaule,el hombro
la main,la mano
le poignet,la muñeca
la cuisse,el muslo
la fesse,la nalga
le nombril,el ombligo
le mollet,la pantorrilla
la poitrine,el pecho
les poils,los pelos
le pied,el pie
la peau ,la piel
la jambe,la pierna
la rotule,la rodilla
la cheville,el tobillo
l'ongle,la uña
les vêtements,la ropa
le manteau,el abrigo
le blouson,la cazadora
le pantalon,el pantalón
le jean,los vasqueros
le pull-over,el sueter / el yersey
un gilet,un chaleco
le survêtement,el chándal
le costume,el traje
la robe,el vestido
le chemisier,la blusa
la chemise,la camisa
le T-shirt,la camiseta
la veste,la chaqueta
la cravate,la corbata
la jupe,la falda
le short,los pantalones cortos
le pyjama,el pijama
porter un vêtement,llevar
s’habiller,vestirse (i)
se déshabiller,desnudarse
essayer,probar
faire les magasins,ir de tiendas
acheter,comprar
Les sous-vêtements,la ropa interior
Les accessoires,los complemento
Les chaussures,los zapatos
Les bijoux,las joyas
Les formes,las formas
les chaussettes,los calcetines
les collants,las medias
le slip / le caleçon,los calzoncillos
la culotte,las bragas
le soutien-gorge,el sostén / el brasier / el sujetador
la ceinture,el cinturón
les lunettes,las gafas
les gants,los guantes
l’écharpe,la bufanda
la cravate,la corbata
le portefeuille,la billetera
le bonnet,el gorro
la casquette,la gorra
le béret,la boina
les bottes,las botas
les chaussures à talon,los zapatos de tacón
les sandales,las sandalias
les tongs,las chanclas
les chaussures de sport,las zapatillas de deporte
les pantoufles,las pantuflas
se chausser,calzarse
se déchausser,descalzarse
la bague,el anillo
la boucle d’oreille,el arete / el pendiente
la montre,el reloj
le collier,el collar
le bracelet,la pulsera
à manches courtes,de manga corta
à manches longues,de manga larga
à col roulé,de cuello vuelto
décolleté,escotado
large,ancho
serré,estrecho
imprimé,estampado
uni,liso
à carreaux,de cuadros
à fleurs,de flores
à pois,de lunares
à rayures,de rayas
un bébé,un bebé
un enfant,un niño
un adolescent,un adolescente
un adulte,un adulto
jeune,joven
vieux,viejo
beau,guapo
très beau,hermoso
moche,feo
blond,rubio
brun,moreno
roux,pelirrojo
les cheveux courts,el pelo corto
les cheveux longs,el pelo largo
les cheveux raides,el pelo lacio
les cheveux frisés,el pelo rizado
être chauve,ser calvo
une frange,un flequillo
des nattes,trenzas
bleus,azules
marrons,marrones
verts,verdes
noirs,negros
grand,alto
petit,bajo
maigre,delgado
mince,esbelto
gros,gordo
le teint,el color de la piel
les taches de rousseur,las pecas
une moustache,un bigote
une barbe,una barba
sympathique,simpático
antipathique,antipático
réservé,reservado
timide,tímido
bavard,hablador
nerveux,nervioso
tranquille,tranquilo
calme,calmado
sérieux,serio
optimiste,optimista
pessimiste,pesimista
poli,educado
impoli,maleducado
drôle,divertido
heureux,feliz
malheureux,desgraciado
content,contento
triste,triste
idiot,idiota
bête,tonto
intelligent,inteligente
avoir le sens de l’humour,tener sentido del humor
avoir bon caractère,tener buen carácter
avoir mauvais caractère,tener mal carácter
froncer les sourcils,fruncir el ceño
sourire,sonreir (i)
rire,reir (i)
pleurer,llorar
les personnes,las personas
la beauté,la belleza
la couleur des yeux,el color de los ojos
la stature et la taille,la estatura y la talla
les traits physiques,los rasgos físicos
le caractère,el carácter
100,cien ou ciento (ex: 101 - ciento uno)
200,doscientos / doscientas
300,trescientos / trescientas
400,cuatrocientos / cuatrocientas
500,quinientos / quinientas
600,seiscientos / seiscientas
700,setecientos / setecientas
800,ochocientos / ochocientas
900,novecientos / novecientas
1.000,mil
2.000,dos mil
1.000.000,millón (variable)
3.000.000,tres millones
1.000.000.000,mil millones (invariable)
4.000.000.000,cuatro mil millones
antique,antiguo
un cahier,un cuaderno
comme,como
le sport,el deporte
le bonheur,la felicidad
l’histoire,la historia
intolérable,intolerable
horrible,horrible
magnifique,magnífico
beaucoup,mucho
nouveau,nuevo
un professeur,un profesor
se souvenir,recordarse (ue)
un cadeau,un regalo
un restaurant,un restaurante
les légumes,las verduras
la douane,la aduana
un douanier,un aduanero
un aéroport,un aeropuerto
une agence de voyages,una agencia de viajes
un quai,un andén
un steward,un auxiliar de vuelo
une hôtesse de l’air,una azafata de vuelo
un billet,un billete
un aller simple,un billete de ida
un aller-retour,un billete de ida y vuelta
une cabine,un camarote
un wagon-lit,un coche-cama
un compartiment,un compartimiento
une consigne,una consigna
une distance,una distancia
un bagage,un equipaje
un bagage à main,un equipaje de mano
un séjour,una estancia
une gare routière,una estación de autocares
une gare,una estación de tren
une station de métro,una estación de metro
un guide (personne),un guía turístico
un guide (livre/brochure),un guía (libro/folleto)
un itinéraire,un itinerario
une arrivée,una llegada
une valise,una maleta
un sac à dos,una mochila
un passager,un pasajero
un pilote (avion/bateau),un piloto (avión/barco)
une réservation,una reserva
un retard,un retraso
un contrôleur (de billets),un revisor (de billetes)
une salle d’attente,una sala de espera
un départ (avion/train),una salida (avión/tren)
un guichet (pour vendre des billets),una taquilla (para vender billetes)
un trajet (voyage/route),un trayecto (viaje/ruta)
un touriste,un turista
des vacances,vacaciones
un wagon,un vagón
un voyage,un viaje
un aller,un viaje de ida
un voyage aller-retour,un viaje de ida y vuelta
un voyage de noces,un viaje de novios
un voyageur,un viajero
un autobus,autocar/un autobús
un avion,un avión
un bateau,un barco
un paquebot,un barco de pasajeros
un bateau à voile / à moteur / à vapeur,un barco de vela / motor / vapor
un vélo,una bicicleta
un camion,un camión
une voiture,un coche
une voiture de location,un coche de alquiler
une moto,una moto
un taxi,un taxi
un transatlantique,un trasatlántico
un train,un tren
un train à grande vitesse (TGV),un tren de alta velocidad
un train express,un tren expreso
un yacht,un yate
atterrir,aterrizar
conduire,conducir
faire une correspondance (train/autobus),hacer trasbordo (tren/autobús)
faire ses bagages,hacer las maletas
faire du tourisme,hacer turismo
arriver,llegar
manquer (le train),perder (el tren)
réserver,reservar
partir en voyage,salir de viaje
partir en vacances,salir de vacaciones
prendre des vacances,tomarse unas vacaciones
voyager,viajar
voler,volar
les moyens de transport,los medios
le jour,el dia
lundi,lunes
mardi,martes
mercredi,miércoles
jeudi,jueves
vendredi,viernes
samedi,sábado
dimanche,domingo
le mois,el mes
janvier,enero
février,febrero
mars,marzo
avril,abril
mai,mayo
juin,junio
juillet,julio
août,agosto
septembre,septiembre
octobre,octubre
novembre,noviembre
décembre,diciembre
l'année,el año
les saisons,las estaciones
le printemps,la primavera
l’été,el verano
l’automne,el otoño
l’hiver,el invierno
le lever du jour,el amanecer
le matin,la mañana
l’après-midi,la tarde
la tombée du jour,el atardecer
la nuit,la noche
le temps,el tiempo
après-demain,pasado mañana
demain,mañana
aujourd’hui,hoy
hier,ayer
avant-hier,anteayer
Il fait beau,Hace buen tiempo - Hace bueno
Il fait mauvais temps,Hace mal tiempo - Hace malo
Il fait chaud,Hace calor
Il fait froid,Hace frío
la neige,la nieve
neiger,nevar (ie)
la glace,el hielo
geler,helar (ie)
la pluie,la lluvia
pleuvoir,llover (ue)
la tempête,la borrasca
une averse,un chubasco
tonner,tronar (ue)
le tonnerre,el trueno
l'orage,la tormenta
un éclair,un relámpago
la grêle,el granizo
nuages et éclaircies,nubes y claros
intervalles nuageux,intervalos nubosos
un nuage,una nube
le ciel est nuageux,el cielo está nublado
le ciel est couvert,el cielo está cubierto
se couvrir,nublarse
le vent,el viento
une rafale de vent,una racha de viento
le soleil,el sol
l'anticyclone,el anticiclón
le ciel est dégagé,el cielo está despejado
il fait soleil,hace sol
l'arc-en-ciel,el arco iris
la température,la temperatura
les degrés,los grados
le climat,el clima
en dessous de zéro,bajo cero
se lever,levantarse
se réveiller,despertarse (ie)
se doucher,ducharse
se baigner,bañarse
se coiffer,peinarse
se brosser les dents,cepillarse los dientes
s’habiller,vestirse (i)
aller au collège,ir al colegio
aller travailler,ir a trabajar
sortir de la maison,salir de casa
prendre le bus,coger el autobús
arriver au travail,llegar a trabajar
commencer à travailler,empezar (ie) a trabajar
étudier,estudiar
finir de travailler,terminar de trabajar
revenir à la maison,volver (ue) a casa
rentrer à la maison,regresar a casa
arriver à la maison,llegar a casa
faire les devoirs,hacer los deberes
regarder la télé,ver/mirar la tele
faire du sport,hacer deporte
dormir,dormir (ue)
se coucher,acostarse (ue)
les repas,las comidas
manger,comer
prendre le petit-déjeuner,desayunar
le petit-déjeuner,el desayuno
déjeuner,almorzar (ue)
le déjeuner,el almuerzo
goûter,merendar (ie)
le goûter,la merienda
dîner,cenar
le dîner,la cena
les loisirs,los ocios
le temps libre,el tiempo libre
les moments de libre,los ratos libres
les vacances,las vacaciones
le congé,el asueto
un jour férié,un día festivo
le week end,el fin de semana
Les lieux de détente,los lugares de esparcimiento
le cinéma,el cine
le théâtre,el teatro
le cirque,el circo
la salle de concert,la sala de concierto
la rue,la calle
le bar,el bar
un club,un club
la boîte de nuit,la discoteca
un endroit à la mode,un lugar de moda
la salle de jeux,el salón recreativo
les arènes,la plaza de toros
le parc d’attractions,el parque de atracciones
la foire,la feria
le musée,el museo
le zoo,el zoológico
Les activités,las actividades
un film,una película
un feuilleton,un serial
une émission,una tertulia radiofónica
un dessin animé,un dibujo animado
un western,una película del Oeste
la tauromachie,la tauromaquia
la lecture,la lectura
un roman,una novela
un revue,una revista
une bande dessinée,un tebeo
un disque,un disco
un C.D,un disco compacto
la danse,el baile
une boum,un guateque
le repos,el descanso
ne rien faire,holgar
se reposer,descansar
s’amuser,divertirse
se distraire,distraerse
s’ennuyer,aburrirse
faire plaisir,agradar
déplaire,desagradar
fêter,celebrar
faire la fête,festejar
se relaxer,relajarse
se défouler,desahogar
jouir,gozar
profiter,disfrutar
s’évader,evadirse
se consacrer,dedicarse
prendre un billet,sacar un billete
écouter la radio,oír la radio
rencontrer une personne,topar con
regarder la télé,mirar la tele
zapper,zapear
prendre des photos,sacar fotos
collectionner,coleccionar
flâner,callejear
se promener,pasear
jouer du piano,tocar el piano
danser,bailar
chanter,cantar
lire,leer
pêcher,pescar
jardiner,arreglar el jardín
aller prendre un verre,ir de copas
aller prendre l’apéritif,ir de tapas
aller faire la bringue,ir de juerga
passer une nuit blanche,trasnochar
faire du sport,practicar deporte
jouer de la musique,tocar música
dessiner,dibujar
faire du théâtre,hacer teatro
faire de la danse,practicar danza
jouer aux échecs,jugar (ue) ajedrez
surfer sur internet,navegar en internet
jouer aux jeux vidéos,jugar (ue) con videojuegos
sortir avec des amis,salir con amigos
aller au cinéma,ir al cine
aller à la piscine,ir a la piscina
se promener,ir de paseo
aller au parc,ir al parque
aller à la montagne,ir a la sierra
partir à la campagne,salir al campo
Le sport,el deporte
le football,el fútbol
le basketball,el baloncesto
la natation,la natación
le tennis,el tenis
l’athlétisme,al atletismo
le handball,el balonmano
le cyclisme,el ciclismo
la gymnastique,la gimnasia
l’haltérophilie,la halterofilia
le parachutisme,el paracaidismo
le canoë,el piragüismo
le rugby,el rugby
la randonnée,el senderismo
le volley-ball,el voleibol
le ski,el esquí
l’équitation,la equitación
le triathlon,el triatlón
le patinage,el patinaje
l’aviron,el remo
le ballon,el balón
les skis,los esquís
les patins,los patines
la raquette,la raqueta
le vélo,la bicicleta
l’haltère,la pesa
la balle / le ballon,la pelota
le match,el partido
la compétition,la competición
la course,la carrera
le trophée,el trofeo
l’arbitre,el árbitro
le stade,el estadio
l’équipe,el equipo
le supporter,el hincha
La musique,la música
la guitare,la guitarra
le piano,el piano
la batterie,la batería
la flûte,la flauta
la harpe,el arpa
le violon,el violín
la trompette,la trompeta
le saxophone,el saxofón
l’accordéon,el acordeón
les castagnettes,las castañuelas
le violoncelle,el violonchelo
le tambour,el tambor
l’harmonica,la armónica
le clavier,el teclado
l’orgue,el órgano
la clarinette,el clarinete
Les fêtes,las fiestas
l’anniversaire,el cumpleaños
Noël,la Navidad
le Nouvel An,el Año Nuevo
les Rois Mages (l’épiphanie),los Reyes Magos
la Saint-Valentin,el día de San Valentín
Pâques,la Pascua
la fête des mères,el día de la Madre
la fête des pères,el día del Padre
la fête des enfants,el día del Niño
la nuit de Noël,la Nochebuena
la nuit du 31 décembre,la Nochevieja
faire la liste des invités,hacer una lista de invitados
faire des courses,hacer las compras
décorer la maison,decorar la casa
acheter un cadeau,comprar un regalo
envoyer les invitations,enviar las invitaciones
le gâteau,el pastel / la torta